binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,duplicate_2,multicollinearity 1,correlated w target 2,corr_feature_class,uniform corr 2,duplicate_1,pd qcut1,correlated w target 1,outliers 1,informative_2,random choice 2,outliers 2,target,pd qcut3,random choice 7,random label num 11,informative_1,uniform corr 1,multicollinearity 3,multicollinearity 4,multicollinearity 2,class,scaling_combined,random label num 3_label num lo 2,random label num 3_label num lo 3,semi_constant_1_q_const_0_1,semi_constant_1_q_const_0_2,random choice 4_North,random choice 4_South,random choice 4_West,semi_constant_2_q_const_0_1,semi_constant_2_q_const_0_2,pd qcut2_Q2,pd qcut2_Q3,pd qcut2_Q4
1.0,0.0019801980198019802,0.0029702970297029703,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.17623762376237623,0.30495049504950494,0.15346534653465346,,-0.6638599972813359,-0.7185647448660656,1.12312316305316,7.100009647546376,0.6722751305915171,-0.9991017824896424,1,,2.5890525817706984,-0.6638599972813359,0,4.463798571989695,-0.9042236742875388,0.28217821782178215,0.13762376237623763,0.07326732673267326,-0.9991017824896424,0.3533973833986504,-0.3087600026357092,-0.2761959815507566,-0.369238792104801,1,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
,0.5148514851485149,0.0029702970297029703,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.17623762376237623,0.30495049504950494,0.15346534653465346,,1.153596854135379,-2.255863726852512,,,0.279624255273008,1.2466861830450993,0,2.759549051446808,4.066693171034944,1.153596854135379,0,5.696884433039204,2.324369783092482,0.28217821782178215,0.1297029702970297,0.07920792079207921,1.2466861830450993,0.8002216292286684,-0.276772862639849,0.1547505548472309,-1.0746808546166864,1,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0029702970297029703,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.30495049504950494,0.019801980198019802,94315.0,0.8593974662590766,0.2530202568356582,,3.7660248647926986,0.7671362093034927,0.9627768269601936,0,,-1.0640136414978918,0.8593974662590766,0,1.49619559204036,1.7782165547025084,0.28217821782178215,0.13564356435643565,0.07227722772277227,0.9627768269601936,0.7607375715990914,-0.5425145027040619,-0.2714260796668728,0.3505865118041856,1,62194.26191798585,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.5148514851485149,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0029702970297029703,0.015841584158415842,64638.0,2.0336452879154674,-1.3403454539532509,,,0.8464465640095108,-2.957440950943304,0,,-0.5904608860560449,2.0336452879154674,0,1.35099045790647,5.451234575139656,0.17425742574257425,0.1297029702970297,0.06336633663366337,-2.957440950943304,0.5974393550545509,0.1101346143384511,0.4336087293253343,,1,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.5148514851485149,0.21386138613861386,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.30495049504950494,0.01782178217821782,64272.0,1.05944863351561,0.8489658105230695,2.8843856438786597,1.946956098484227,0.6368568525987174,1.1411652716579703,0,,-0.3731136168060411,1.05944863351561,0,0.9576509734713397,2.1539258469951807,0.28217821782178215,0.14653465346534653,0.07326732673267326,1.1411652716579703,0.8375108471676516,-1.0508374920431467,-1.585646970494436,0.4065024011504071,1,54339.28596854137,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0019801980198019802,0.0039603960396039604,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.02574257425742574,45605.0,2.399635889224372,0.7083700399221544,,,0.6507583244504499,2.485477863898728,0,,,2.399635889224372,1,4.177897977802453,4.626787069235546,0.17425742574257425,0.16534653465346535,0.06732673267326733,2.485477863898728,0.6533190743862001,0.9933301079999172,1.0423192179833618,0.7077297126076293,1,33778.854808427845,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,0.5148514851485149,0.21386138613861386,0.0019801980198019802,0.0019801980198019802,0.100990099009901,0.0019801980198019802,0.0019801980198019802,0.01089108910891089,,-0.747560845179044,-0.1008995410004739,0.4695761762366741,-6.60506610611737,0.5917480261622527,-0.6479636736717482,1,-2.2123563902169856,0.4975183375525076,-0.747560845179044,0,0.4439106086078714,-1.187224231921867,0.18118811881188118,0.14653465346534653,0.06534653465346535,-0.6479636736717482,0.323740718624641,0.1534487696560149,0.9733171582335352,-0.3382181250803106,0,50772.19024772956,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.5148514851485149,0.0019801980198019802,0.0019801980198019802,0.05148514851485148,0.0019801980198019802,0.17623762376237623,0.30495049504950494,0.15346534653465346,,-0.8182224427035356,0.6765826051101606,,,0.2469239423344296,-0.8922328125534437,1,0.8461332779119302,,-0.8182224427035356,0,,-1.266374292198878,0.18118811881188118,0.16534653465346535,0.06336633663366337,-0.8922328125534437,0.1963568341257459,-0.8847511396655566,-0.8033257406808071,-0.8905779104631278,0,46829.410406709154,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.0,0.5148514851485149,0.21386138613861386,0.05247524752475247,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.01287128712871287,30409.0,-0.0915466678066115,0.0871085032691421,4.043927344793103,1.6554711349219204,0.2822307007020693,-0.7273359834485558,0,2.5003027381218463,,-0.0915466678066115,0,,0.2411105626158083,0.1801980198019802,0.13564356435643565,0.2891089108910891,-0.7273359834485558,,0.381115056271666,0.923469884599188,-0.9046120381910018,0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,0.5148514851485149,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.0019801980198019802,0.17623762376237623,0.0019801980198019802,0.011881188118811881,19445.0,-1.8069333466532715,1.3641883638700636,-1.1274721046170066,,0.6019586407848248,0.9753643211025784,1,1.6890154271133848,,-1.8069333466532715,0,,-3.935564389564147,0.0900990099009901,0.13564356435643565,0.2891089108910891,0.9753643211025784,0.0232744188217219,0.5737022658571935,0.8165584366766346,0.9210613769788296,0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
